"id","relacionados","name","description","precio","imagen","categorias","linkPago","subcategorias","oferta"
5019,,"FRAZADA CORAL 127*152 SIRENITA ARIEL - BLANCO","7730784165420 FRAZADA CORAL FREECE. SUAVE AL TACTO. ABRIGADA. LIVIANA Y DECORATIVA - MEDIDAS: 127x152cm.","1200.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/FRAZADA_CORAL_127*152_SIRENITA_ARIEL_-_BLANCO_ee2da29e-6cad-11f0-abb1-0242ac110002/ee2becce-6cad-11f0-abb1-0242ac110002.jpg","Cama",,,
5018,"5016 5015 5014 5013 5012 5011 5010 5009 5008 5007 5006 5005 5001","COLCHA DOHLER PROVENCA KING C/FUNDA - BEIGE","7900033036485 COLCHA DOHLER TAMAÑO KING SIZE - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 280x250cm + 2 FUNDA 50x70cm.","3150.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_KING_C/FUNDA_-_BEIGE_d23dc1cc-6668-11f0-9674-0242ac110002/d23c5e86-6668-11f0-9674-0242ac110002.jpg","Cama",,,"true"
5016,"5018 5015 5014 5013 5012 5011 5010 5009 5008 5007 5006 5004 5000","COLCHA DOHLER PROVENCA QUEEN C/FUNDA - BEIGE","7900033036577 COLCHA DOHLER TAMAÑO QUEEN SIZE - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 240x250cm + 2 FUNDA 50x70cm.","3000.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_QUEEN_C/FUNDA_-_BEIGE_2c61e5f8-6348-11f0-abb1-0242ac110002/2c5ff9be-6348-11f0-abb1-0242ac110002.jpg","Cama",,,
5015,"5018 5016 5014 5013 5012 5011 5010 5009 5008 5007 5006 5003 4999","COLCHA DOHLER PROVENCA FULL C/FUNDA - BEIGE","7900033036669 COLCHA DOHLER TAMAÑO 2 PLAZAS - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 220x250cm + 2 FUNDAS 50x70cm.","2775.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_FULL_C/FUNDA_-_BEIGE_e5cad708-6347-11f0-8f94-0242ac110002/e5c94122-6347-11f0-8f94-0242ac110002.jpg","Cama",,,
5014,"5018 5016 5015 5013 5012 5011 5010 5009 5008 5007 5006 5002 4998","COLCHA DOHLER PROVENCA TWIN C/FUNDA - BEIGE","7900033036720 COLCHA DOHLER TAMAÑO 1 PLAZA - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 160x250cm + 1 FUNDA 50x70cm.","1950.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_TWIN_C/FUNDA_-_BEIGE_bb7b73fe-6347-11f0-abb1-0242ac110002/bb79c0ae-6347-11f0-abb1-0242ac110002.jpg","Cama",,,
5013,"5018 5016 5015 5014 5012 5011 5010 5009 5008 5007 5006 5005 5001","COLCHA DOHLER PROVENCA KING C/FUNDA - SALMON","7900033036478","3150.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_KING_C/FUNDA_-_SALMON_658613c8-6347-11f0-8f94-0242ac110002/6584731a-6347-11f0-8f94-0242ac110002.jpg","Cama",,,
5012,"5018 5016 5015 5014 5013 5011 5010 5008 5006 5004 5000","COLCHA DOHLER PROVENCA QUEEN C/FUNDA - SALMON","7900033036560 COLCHA DOHLER TAMAÑO QUEEN SIZE - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 240x250cm + 2 FUNDA 50x70cm.","3000.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_QUEEN_C/FUNDA_-_SALMON_b02bfeda-6345-11f0-abb1-0242ac110002/b02a6f5c-6345-11f0-abb1-0242ac110002.jpg","Cama",,,
5011,"5018 5016 5015 5014 5013 5012 5010 5009 5008 5007 5006 5003 4999","COLCHA DOHLER PROVENCA FULL C/FUNDA - SALMON","7900033036652 COLCHA DOHLER TAMAÑO 2 PLAZAS - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 220x250cm + 2 FUNDAS 50x70cm.","2775.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_FULL_C/FUNDA_-_SALMON_87579154-6345-11f0-8f94-0242ac110002/8755fce0-6345-11f0-8f94-0242ac110002.jpg","Cama",,,
5010,"5018 5016 5015 5014 5013 5012 5011 5009 5008 5007 5006 5002 4998","COLCHA DOHLER PROVENCA TWIN C/FUNDA - SALMON","7900033036713 COLCHA DOHLER TAMAÑO 1 PLAZA - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 160x250cm + 1 FUNDA 50x70cm.","1950.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_TWIN_C/FUNDA_-_SALMON_630c8f0c-6345-11f0-8f94-0242ac110002/630afc50-6345-11f0-8f94-0242ac110002.jpg","Cama",,,
5009,"5018 5016 5015 5014 5013 5011 5010 5008 5007 5006","COLCHA DOHLER PROVENCA KING C/FUNDA - AZUL MARINO","7900033036461 COLCHA DOHLER TAMAÑO KING SIZE - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 280x250cm + 2 FUNDA 50x70cm.","3150.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_KING_C/FUNDA_-_AZUL_MARINO_3a91b5fc-6345-11f0-9674-0242ac110002/3a8ffcd0-6345-11f0-9674-0242ac110002.jpg","Cama",,,
